date_key,date,tmin,tmax,tavg,prcp,snow
20220103,03-01-2022,-17.7,-6.6,-12.15,0,8
20220104,04-01-2022,-8.8,-0.5,-4.65,0,8
20220105,05-01-2022,-11.6,-0.5,-6.05,0.5,8
20220106,06-01-2022,-18.8,-11.6,-15.2,0.3,10
20220107,07-01-2022,-22.1,-10.5,-16.3,0,10
20220108,08-01-2022,-12.7,-3.2,-7.95,0,10
20220109,09-01-2022,-13.8,-2.1,-7.95,0,8
20220110,10-01-2022,-19.9,-12.7,-16.3,0,8
20220111,11-01-2022,-20.5,2.2,-9.15,0,8
20220112,12-01-2022,-2.7,5.6,1.45,0,8
20220113,13-01-2022,-4.3,4.4,0.05,0,8
20220114,14-01-2022,-10.5,0,-5.25,0.3,8
20220115,15-01-2022,-16,-7.7,-11.85,0,8
20220116,16-01-2022,-18.2,-5.5,-11.85,0,8
20220117,17-01-2022,-6,-1.6,-3.8,0,8
20220118,18-01-2022,-4.3,2.2,-1.05,0,8
20220119,19-01-2022,-15.5,1.1,-7.2,0,8
20220120,20-01-2022,-20.5,-12.7,-16.6,0,8
20220121,21-01-2022,-22.7,-8.2,-15.45,0,8
20220122,22-01-2022,-9.9,-2.7,-6.3,4.1,8
20220123,23-01-2022,-16.6,-9.9,-13.25,2,18
20220124,24-01-2022,-15.5,-8.2,-11.85,4.1,20
20220125,25-01-2022,-23.2,-14.3,-18.75,0,18
20220126,26-01-2022,-27.7,-10.5,-19.1,0,18
20220127,27-01-2022,-12.7,1.7,-5.5,0,18
20220128,28-01-2022,-17.1,-8.2,-12.65,0,15
20220129,29-01-2022,-14.9,-5.5,-10.2,0,15
20220130,30-01-2022,-13.8,-2.7,-8.25,0,15
20220131,31-01-2022,-16,-0.5,-8.25,0,15
20220201,01-02-2022,-6.6,6.7,0.05,0,13
20220202,02-02-2022,-13.2,-6.6,-9.9,0,10
20220203,03-02-2022,-17.7,-10.5,-14.1,0,10
20220204,04-02-2022,-19.3,-7.7,-13.5,0.5,10
20220205,05-02-2022,-18.8,-6,-12.4,0,10
20220206,06-02-2022,-7.7,2.8,-2.45,0,10
20220207,07-02-2022,-9.9,-4.3,-7.1,0,10
20220208,08-02-2022,-7.7,3.3,-2.2,0,10
20220209,09-02-2022,-2.1,3.9,0.9,0,10
20220210,10-02-2022,-4.9,1.1,-1.9,1,10
20220211,11-02-2022,-9.9,5.6,-2.15,0.5,10
20220212,12-02-2022,-14.9,-9.3,-12.1,0,10
20220213,13-02-2022,-16,-9.9,-12.95,0,10
20220214,14-02-2022,-12.1,-4.3,-8.2,0,10
20220215,15-02-2022,-12.1,2.8,-4.65,0,8
20220216,16-02-2022,-1,7.8,3.4,1.3,8
20220217,17-02-2022,-14.3,-1,-7.65,0,5
20220218,18-02-2022,-16,2.8,-6.6,1.5,5
20220219,19-02-2022,-16.6,-7.1,-11.85,0,8
20220220,20-02-2022,-7.7,10.6,1.45,0,8
20220221,21-02-2022,-3.8,1.7,-1.05,0.3,3
20220222,22-02-2022,-8.8,-3.8,-6.3,2.5,3
20220223,23-02-2022,-14.9,-6,-10.45,0,3
20220224,24-02-2022,-11,-5.5,-8.25,2,3
20220225,25-02-2022,-11.6,-2.7,-7.15,0.5,8
20220226,26-02-2022,-13.2,-0.5,-6.85,0,8
20220227,27-02-2022,-5.5,4.4,-0.55,0,5
20220228,28-02-2022,-5.5,9.4,1.95,0,5
20220301,01-03-2022,-0.5,9.4,4.45,0,3
20220302,02-03-2022,-3.2,7.8,2.3,0,0
20220303,03-03-2022,-5.5,0,-2.75,0,0
20220304,04-03-2022,-6,3.9,-1.05,0,0
20220305,05-03-2022,1.1,12.2,6.65,30.5,0
20220306,06-03-2022,-0.5,11.1,5.3,0,0
20220307,07-03-2022,-7.7,0,-3.85,6.9,5
20220308,08-03-2022,-11.6,2.2,-4.7,0,5
20220309,09-03-2022,-6,0.6,-2.7,0,3
20220310,10-03-2022,-11,-5.5,-8.25,0,0
20220311,11-03-2022,-12.7,-2.7,-7.7,0,0
20220312,12-03-2022,-15.5,-6,-10.75,0,0
20220313,13-03-2022,-6,9.4,1.7,0,0
20220314,14-03-2022,0,12.2,6.1,0,0
20220315,15-03-2022,-2.1,11.7,4.8,0,0
20220316,16-03-2022,-1,18.9,8.95,0,0
20220317,17-03-2022,2.2,11.7,6.95,3.3,0
20220318,18-03-2022,0,6.1,3.05,14.2,0
20220319,19-03-2022,-2.1,8.3,3.1,2,0
20220320,20-03-2022,-3.8,16.7,6.45,0,0
20220321,21-03-2022,0.6,23.9,12.25,0,0
20220322,22-03-2022,5.6,8.9,7.25,10.9,0
20220323,23-03-2022,1.7,6.1,3.9,14,0
20220324,24-03-2022,0,2.8,1.4,5.1,0
20220325,25-03-2022,-0.5,5.6,2.55,0.3,0
